desc_entidad,2020,2015,diferencia
Aguascalientes,25.583333333333332,22.993807500000003,2.5895258333333335
Baja California,29.142857142857142,22.911498142857145,6.231358999999999
Baja California Sur,29.833333333333332,27.87787333333333,1.9554600000000004
Campeche,27.846153846153847,23.388868615384617,4.457285230769231
Chiapas,23.628,20.588891647999997,3.0391083520000013
Chihuahua,31.191176470588236,26.70724285294118,4.4839336176470574
Ciudad de México,34.8235294117647,32.711749352941176,2.1117800588235296
Coahuila de Zaragoza,29.423076923076923,27.29552230769231,2.1275546153846157
Colima,30.545454545454547,27.497404454545457,3.0480500909090904
Durango,28.425,26.1838816,2.2411184
Estados Unidos Mexicanos,29.0,26.922546,2.0774539999999995
Guanajuato,27.851063829787233,25.298881765957447,2.552182063829787
Guerrero,25.353658536585368,22.87516223170731,2.478496304878049
Hidalgo,29.770588235294117,27.180583917647056,2.5900043176470584
Jalisco,29.158730158730158,26.727584333333326,2.431145825396825
Michoacán de Ocampo,28.43421052631579,25.9278244122807,2.506386114035089
Morelos,29.324324324324323,24.784796621621624,4.539527702702703
México,27.857142857142858,25.506898023809512,2.350244833333333
Nayarit,28.952380952380953,26.511907619047623,2.4404733333333333
Nuevo León,32.10576923076923,29.547944615384623,2.557824615384615
Oaxaca,30.09841827768014,27.359554942003513,2.738863335676629
Puebla,27.30504587155963,24.76387624770643,2.5411696238532113
Querétaro,27.05263157894737,24.157442052631573,2.8951895263157894
Quintana Roo,27.5,22.83680191666667,4.6631980833333335
San Luis Potosí,28.915254237288135,26.22051847457627,2.694735762711864
Sinaloa,29.94736842105263,27.29092152631579,2.656446894736842
Sonora,34.13013698630137,30.821404589041098,3.308732397260273
Tabasco,28.27777777777778,25.96107111111111,2.3167066666666667
Tamaulipas,32.70454545454545,30.060498272727276,2.644047181818182
Tlaxcala,27.901639344262296,25.582197377049184,2.319441967213115
Veracruz de Ignacio de la Llave,30.173708920187792,27.155617516431953,3.0180914037558693
Yucatán,29.07943925233645,27.01712190654206,2.0623173457943924
Zacatecas,29.220338983050848,27.33639418644067,1.8839447966101688
